时间,省份,确诊,疑似,治愈,死亡
2020/1/20,香港,0,0,0,0
2020/1/20,澳门,0,0,0,0

2020/1/21,全国,440,91,25,9
2020/1/21,广东,26,0,0,0
2020/1/21,青海,0,0,0,0
2020/1/21,四川,2,0,0,0
2020/1/21,海南,0,0,0,0
2020/1/21,陕西,0,0,0,0
2020/1/21,甘肃,0,0,0,0
2020/1/21,云南,1,0,0,0
2020/1/21,湖南,1,0,0,0
2020/1/21,湖北,375,0,25,9
2020/1/21,黑龙江,0,0,0,0
2020/1/21,贵州,0,0,0,0
2020/1/21,山东,1,0,0,0
2020/1/21,江西,2,0,0,0
2020/1/21,河南,1,0,0,0
2020/1/21,河北,0,0,0,0
2020/1/21,山西,0,0,0,0
2020/1/21,安徽,0,0,0,0
2020/1/21,福建,0,0,0,0
2020/1/21,浙江,5,0,0,0
2020/1/21,江苏,0,0,0,0
2020/1/21,吉林,0,0,0,0
2020/1/21,辽宁,0,0,0,0
2020/1/21,台湾,0,0,0,0
2020/1/21,新疆,0,0,0,0
2020/1/21,广西,0,0,0,0
2020/1/21,宁夏,0,0,0,0
2020/1/21,内蒙古,0,0,0,0
2020/1/21,西藏,0,0,0,0
2020/1/21,北京,10,0,0,0
2020/1/21,天津,2,0,0,0
2020/1/21,上海,9,0,0,0
2020/1/21,重庆,5,0,0,0
2020/1/21,香港,0,0,0,0
2020/1/21,澳门,0,0,0,0

2020/1/22,全国,571,257,25,17
2020/1/22,广东,0,0,0,0
2020/1/22,青海,0,0,0,0
2020/1/22,四川,0,0,0,0
2020/1/22,海南,0,0,0,0
2020/1/22,陕西,0,0,0,0
2020/1/22,甘肃,0,0,0,0
2020/1/22,云南,0,0,0,0
2020/1/22,湖南,0,0,0,0
2020/1/22,湖北,0,0,0,0
2020/1/22,黑龙江,0,0,0,0
2020/1/22,贵州,0,0,0,0
2020/1/22,山东,0,0,0,0
2020/1/22,江西,0,0,0,0
2020/1/22,河南,0,0,0,0
2020/1/22,河北,0,0,0,0
2020/1/22,山西,0,0,0,0
2020/1/22,安徽,0,0,0,0
2020/1/22,福建,0,0,0,0
2020/1/22,浙江,0,0,0,0
2020/1/22,江苏,0,0,0,0
2020/1/22,吉林,0,0,0,0
2020/1/22,辽宁,0,0,0,0
2020/1/22,台湾,0,0,0,0
2020/1/22,新疆,0,0,0,0
2020/1/22,广西,0,0,0,0
2020/1/22,宁夏,0,0,0,0
2020/1/22,内蒙古,0,0,0,0
2020/1/22,西藏,0,0,0,0
2020/1/22,北京,0,0,0,0
2020/1/22,天津,0,0,0,0
2020/1/22,上海,0,0,0,0
2020/1/22,重庆,0,0,0,0
2020/1/22,香港,0,0,0,0
2020/1/22,澳门,0,0,0,0

2020/1/23,全国,830,1072,34,25
2020/1/23,广东,0,0,0,0
2020/1/23,青海,0,0,0,0
2020/1/23,四川,0,0,0,0
2020/1/23,海南,0,0,0,0
2020/1/23,陕西,0,0,0,0
2020/1/23,甘肃,0,0,0,0
2020/1/23,云南,0,0,0,0
2020/1/23,湖南,0,0,0,0
2020/1/23,湖北,0,0,0,24
2020/1/23,黑龙江,0,0,0,0
2020/1/23,贵州,0,0,0,0
2020/1/23,山东,0,0,0,0
2020/1/23,江西,0,0,0,0
2020/1/23,河南,0,0,0,0
2020/1/23,河北,0,0,0,1
2020/1/23,山西,0,0,0,0
2020/1/23,安徽,0,0,0,0
2020/1/23,福建,0,0,0,0
2020/1/23,浙江,0,0,0,0
2020/1/23,江苏,0,0,0,0
2020/1/23,吉林,0,0,0,0
2020/1/23,辽宁,0,0,0,0
2020/1/23,台湾,1,0,0,0
2020/1/23,新疆,0,0,0,0
2020/1/23,广西,0,0,0,0
